CreditScore,Gender,Age,Tenure,HasCrCard,EstimatedSalary,IsActiveMember
692,Male,45,6,1,188305.85,0
812,Male,38,3,1,174822.74,1
652,Female,34,6,1,104331.76,1
817,Male,59,1,1,120819.58,1
553,Male,43,6,1,160574.09,1
504,Male,34,0,1,136909.88,1
590,Female,23,7,1,196789.9,0
731,Female,37,1,1,180712.52,1
678,Female,38,2,0,115068.99,0
718,Female,25,4,1,63030.97,0
675,Female,29,8,1,133457.52,0
625,Female,58,10,1,192072.1,1
850,Male,38,5,1,16491.64,0
669,Male,25,1,0,37543.93,0
504,Male,42,7,1,149697.78,1
477,Female,39,4,1,185830.72,0
688,Male,35,5,0,166165.93,0
725,Male,40,8,1,62027.9,0
620,Female,42,1,0,65565.92,1
465,Male,41,9,1,168280.95,0
724,Male,28,5,1,96498.14,1
730,Male,33,0,1,1474.79,0
565,Female,47,10,1,165849.49,0
586,Male,29,2,1,36176.63,1
707,Female,51,10,0,70778.63,0
711,Male,41,3,1,193747.57,1
649,Female,46,2,1,66602.7,1
747,Female,25,4,0,42039.67,1
825,Female,32,1,1,42935.15,1
688,Female,35,6,1,25488.43,0
695,Male,28,5,1,88689.4,1
669,Female,50,4,0,166386.22,0
598,Male,32,9,1,198894.42,0
542,Female,39,4,1,41268.65,1
620,Male,36,7,1,45414.09,0
677,Female,26,3,1,119368.99,0
535,Female,53,5,1,75888.65,1
818,Male,36,4,1,8037.03,1
792,Male,34,1,0,86330.32,1
690,Male,36,7,1,123775.15,0
698,Male,52,8,1,153373.71,1
493,Female,36,2,0,99770.3,1
633,Male,30,2,1,139712.81,1
552,Female,42,8,0,186869.58,1
622,Female,38,4,1,110457.99,1
701,Male,32,5,0,106287.77,0
590,Female,51,3,0,191932.27,1
708,Male,32,3,1,172810.51,1
665,Female,41,8,1,137037.97,0
534,Male,51,3,0,20856.31,1
745,Male,34,9,1,50046.25,0
693,Male,68,4,1,61569.07,1
632,Female,44,3,1,34607.14,1
571,Female,33,9,0,77519.62,1
520,Male,30,3,1,898.51,1
668,Female,36,3,1,190958.48,0
652,Female,40,8,0,107876.2,1
743,Male,25,6,1,129740.11,0
624,Male,35,2,1,87310.59,0
672,Female,34,1,1,168753.34,1
452,Male,35,4,1,4175.68,1
592,Female,62,5,1,100941.57,1
620,Male,41,0,1,85000.32,0
610,Male,49,6,1,195813.81,0
629,Female,38,9,1,76053.07,0
614,Male,43,8,1,166588.76,1
472,Female,37,1,1,48357.9,1
777,Male,43,1,1,21785.91,0
506,Male,43,2,1,105568.6,0
692,Female,31,2,1,91829.17,0
602,Male,32,10,1,116052.92,1
461,Female,35,5,1,54209.02,1
619,Female,28,3,1,53394.12,0
631,Female,41,0,0,87959.83,0
653,Male,46,0,1,78250.13,0
621,Female,50,5,1,191756.54,0
707,Male,34,9,1,94912.78,0
520,Male,58,3,0,32790.02,1
575,Male,27,3,1,99843.98,0
605,Male,75,2,0,186655.11,1
605,Female,30,9,0,186418.85,1
850,Male,58,8,0,25899.21,0
710,Female,27,2,1,142200.15,0
757,Male,47,3,1,143829.54,0
575,Male,36,1,0,94570.56,1
850,Male,20,7,1,31288.77,0
803,Male,33,6,1,115676.61,0
702,Male,39,8,1,99654.13,0
647,Male,32,9,1,128590.73,1
493,Male,54,3,1,150159.95,0
640,Female,29,4,1,44904.26,0
748,Female,49,7,0,163550.58,0
492,Female,48,6,1,92144.09,1
613,Male,44,3,0,136491.72,1
773,Male,64,2,0,186172.85,1
633,Male,61,3,0,50368.63,1
777,Female,30,4,0,115611.97,1
616,Female,43,3,1,18761.92,0
522,Female,37,3,1,129107.59,1
738,Male,37,7,1,195333.98,0
768,Female,28,3,0,50911.41,1
577,Female,59,7,0,191070.01,1
596,Male,48,2,0,1140.02,0
850,Male,38,3,1,140075.55,1
585,Female,43,2,1,89402.54,0
756,Male,32,0,1,56176.31,1
646,Female,30,10,0,136983.77,0
850,Male,44,2,0,158171.36,0
702,Female,40,1,0,9712.52,0
777,Female,46,0,1,487.3,0
711,Female,53,5,1,102428.51,0
461,Male,51,9,0,56767.67,0
598,Male,19,3,1,173784.04,1
722,Female,38,3,0,167984.72,1
730,Male,27,5,1,116081.93,1
562,Male,37,2,0,52525.15,1
753,Male,33,5,1,82820.85,1
799,Male,38,2,1,59297.34,1
673,Female,34,1,0,76703.1,1
512,Male,33,3,1,94670.77,0
733,Male,35,8,1,45959.86,1
722,Female,48,10,1,3472.63,1
741,Male,32,5,1,64839.23,1
731,Female,49,4,1,33759.41,1
802,Male,31,1,1,187658.09,1
769,Female,39,8,0,21016.0,1
433,Male,27,2,1,153698.65,1
676,Female,30,5,0,179066.58,0
641,Male,65,6,1,32607.77,0
508,Male,49,7,1,75808.1,1
681,Female,57,2,0,131964.66,1
523,Female,26,4,1,185488.81,0
627,Male,70,1,0,145299.5,1
498,Male,73,2,1,165407.96,1
581,Male,43,9,0,30662.91,1
660,Male,41,3,1,108665.89,1
819,Male,35,1,0,3385.04,1
686,Male,43,2,1,97847.05,1
726,Female,38,5,1,128052.29,0
850,Male,48,2,1,169425.3,0
676,Female,34,4,1,189540.95,1
739,Female,30,6,0,122604.44,0
584,Female,30,5,1,185201.58,1
705,Female,48,1,1,99475.95,1
544,Female,53,9,1,125692.07,0
702,Female,38,9,1,158527.45,1
588,Male,34,6,1,86460.28,0
489,Female,52,1,1,37240.11,0
646,Female,46,8,1,133059.15,0
682,Female,47,10,1,144290.97,0
652,Female,37,4,1,143393.24,0
702,Male,40,7,0,135334.24,1
680,Female,47,5,1,179843.33,1
608,Male,45,4,0,36697.48,0
636,Male,44,2,0,86414.41,0
784,Male,48,7,1,182609.97,1
499,Female,44,6,1,108222.68,0
669,Male,45,1,0,110881.56,0
494,Male,25,6,0,109988.09,1
634,Female,41,4,1,164549.74,1
700,Female,36,4,1,130789.15,0
850,Male,30,6,1,188809.23,1
505,Male,40,6,1,155061.97,1
774,Female,32,4,0,114899.13,0
664,Male,55,8,1,139161.64,1
483,Female,30,9,0,136356.97,0
696,Female,30,8,1,196134.44,1
672,Female,23,10,1,80778.5,0
755,Male,43,6,1,16929.41,0
706,Male,38,1,1,122379.54,0
739,Female,37,8,1,191557.1,0
741,Female,44,7,1,190534.76,1
582,Male,33,6,0,72970.93,1
636,Female,31,9,1,74641.9,1
790,Female,40,9,1,70607.1,1
605,Female,57,2,1,66652.75,0
711,Female,39,3,1,90305.97,0
541,Female,32,4,1,114951.42,1
539,Male,30,0,1,160979.66,0
555,Male,37,9,1,60194.05,0
729,Female,38,10,1,189727.12,0
631,Male,40,3,1,52449.62,0
580,Male,38,9,1,128481.5,0
582,Male,39,5,1,129892.93,1
715,Male,21,6,1,173511.72,1
636,Female,39,3,1,184691.77,0
681,Male,23,7,0,147759.84,0
806,Male,48,4,1,21439.49,1
555,Male,21,1,0,103901.35,0
712,Female,39,5,1,23702.42,1
694,Female,37,8,1,182354.46,0
603,Male,30,8,1,47536.46,1
698,Male,37,8,0,145004.39,0
734,Female,52,6,0,38984.37,1
701,Female,34,6,1,119374.74,1
656,Female,34,6,1,14032.62,0
469,Male,37,9,1,119890.86,1
746,Male,36,7,1,193438.69,1
786,Male,37,7,1,66977.68,1
801,Male,43,4,0,98586.14,0
604,Female,71,2,1,49506.82,1
750,Female,36,6,1,59816.41,1
792,Male,31,6,0,125912.77,1
504,Female,49,7,0,87822.14,1
604,Female,28,6,1,69056.26,1
594,Male,23,5,1,160968.44,0
617,Female,26,2,0,168834.38,1
758,Female,43,10,1,55313.44,1
679,Male,39,0,0,159830.58,1
714,Male,21,6,0,27330.59,0
665,Female,38,5,1,156439.56,0
582,Female,38,9,1,76582.95,1
771,Female,38,5,1,72985.61,0
525,Female,57,2,1,64448.36,1
525,Female,60,7,0,168034.9,1
682,Female,48,7,1,65069.03,0
615,Female,29,7,1,126396.01,1
573,Male,44,9,1,107124.17,0
650,Male,37,5,0,24495.03,0
702,Male,36,9,1,174268.87,0
710,Female,62,9,1,48571.14,0
761,Male,37,7,1,199293.01,0
690,Female,36,10,1,135784.94,1
553,Male,53,5,1,165378.66,0
633,Female,29,7,1,4272.0,0
573,Female,26,4,0,149814.68,0
760,Male,34,2,1,164162.44,0
649,Male,20,5,1,58309.54,1
528,Female,46,9,1,133146.03,0
772,Female,51,9,0,46675.51,1
744,Male,29,1,1,119327.75,1
738,Male,35,5,1,181429.87,0
687,Female,47,1,0,158845.49,0
701,Male,33,9,1,190611.92,0
802,Male,41,5,1,134626.3,1
680,Male,32,7,0,77349.92,1
671,Male,36,2,0,193201.86,0
605,Female,29,3,0,4092.75,0
614,Female,43,6,1,109041.53,1
728,Female,43,8,0,139024.31,1
541,Male,37,9,0,148814.54,1
498,Female,41,4,1,12577.21,1
578,Female,35,2,0,26389.92,1
669,Female,35,7,1,49108.23,1
695,Male,40,7,0,193383.13,1
608,Female,38,9,0,57600.66,1
542,Male,43,6,1,89543.25,0
735,Male,34,5,0,71095.41,0
697,Female,74,3,1,16445.79,1
733,Female,38,5,1,1271.51,1
773,Female,39,4,0,182081.45,1
677,Female,35,0,0,76637.38,0
479,Male,35,4,1,47251.79,1
696,Male,33,2,1,7035.36,1
516,Female,42,8,1,46857.52,0
796,Male,44,8,1,57205.55,1
616,Male,41,10,1,114072.91,1
615,Male,39,4,1,108152.75,1
665,Female,37,5,0,183542.08,1
774,Female,52,2,1,113266.28,0
669,Female,42,1,1,148611.52,0
681,Male,49,8,0,187280.51,0
749,Male,42,1,0,143538.51,1
587,Male,46,9,1,139431.0,0
545,Female,39,6,0,38410.74,0
553,Male,47,3,0,145704.19,0
642,Male,72,1,1,142223.94,1
587,Male,51,3,0,148798.45,1
732,Female,29,1,1,138527.56,1
655,Male,34,1,1,49492.15,1
850,Male,66,4,0,64350.8,1
471,Male,26,8,1,179655.87,1
656,Female,39,6,1,141069.88,0
644,Male,18,7,0,59645.24,1
581,Female,46,1,1,104272.04,0
556,Female,47,2,1,50390.98,1
713,Female,59,3,1,62700.08,1
794,Male,31,0,0,175643.44,1
708,Male,52,10,1,123.07,0
656,Female,75,3,1,1276.87,1
597,Female,39,8,1,36051.46,0
566,Female,21,3,1,3626.47,1
794,Male,33,8,0,91340.02,0
640,Male,45,1,1,10908.33,1
707,Male,73,6,1,62768.8,1
763,Male,42,6,1,33462.94,0
549,Male,37,2,0,47432.43,0
730,Female,22,9,1,145792.01,1
850,Male,41,8,1,175347.28,1
544,Female,21,10,1,9262.77,0
824,Male,45,3,0,60151.77,0
644,Male,32,3,1,14187.78,1
633,Female,37,9,1,72008.61,0
695,Female,42,5,0,72172.13,1
694,Male,38,7,1,113481.02,0
622,Male,59,5,1,60429.43,1
465,Female,33,6,1,95500.98,1
808,Male,41,0,1,79888.78,1
572,Female,36,8,0,50400.32,1
747,Male,36,8,1,180693.61,1
686,Male,39,3,1,103220.56,1
640,Male,43,7,0,69584.3,0
498,Male,35,2,0,188343.05,1
603,Female,39,5,1,54702.66,0
683,Male,35,9,0,82951.12,0
741,Female,37,8,0,109843.16,0
706,Female,47,6,1,140803.7,1
716,Male,34,9,1,66695.71,1
690,Female,26,5,1,49599.27,1
684,Female,41,6,1,121967.88,1
658,Female,39,4,1,147530.06,1
540,Male,37,0,1,28257.89,0
761,Female,33,6,1,148779.41,0
570,Female,58,8,0,116503.92,1
578,Male,36,1,1,141533.19,0
632,Female,50,5,1,6985.34,1
835,Male,32,8,1,27548.06,1
628,Male,30,8,1,13126.9,1
522,Male,34,9,1,174248.52,0
657,Male,57,8,1,126369.55,1
744,Male,29,6,1,141558.04,0
688,Male,42,5,0,197602.29,0
743,Male,30,7,0,144407.1,0
580,Male,31,2,0,64014.24,1
850,Female,57,8,1,132298.49,1
628,Male,40,5,1,129107.97,1
683,Female,57,5,0,9221.78,0
612,Male,24,1,1,171837.06,1
636,Female,48,1,1,110510.28,0
700,Female,42,8,1,105305.72,1
774,Female,36,8,0,101828.39,0
796,Female,40,1,1,177524.19,0
758,Female,23,5,1,102460.84,0
667,Female,44,5,0,57164.19,1
850,Female,36,0,1,62722.44,1
641,Female,52,4,1,90964.54,0
670,Female,45,9,1,155921.81,0
594,Female,38,7,1,77511.45,0
829,Male,38,9,1,30529.88,0
694,Male,42,3,0,88890.75,0
765,Male,43,9,0,136602.8,0
671,Female,23,9,1,159553.27,1
668,Female,69,9,0,134483.07,1
698,Female,64,1,1,84760.32,0
655,Female,32,6,1,9241.83,0
685,Male,38,4,1,102184.66,1
732,Female,42,2,0,87422.15,0
531,Male,31,2,0,41409.36,0
551,Male,50,1,0,84508.44,1
519,Female,21,1,1,170138.68,1
690,Male,29,5,1,108577.97,0
507,Male,36,4,0,140134.43,0
457,Male,40,10,1,150757.35,0
759,Female,45,8,1,99251.24,1
778,Male,37,3,0,179421.84,1
587,Male,40,5,1,159418.1,0
593,Female,38,5,1,125079.65,1
766,Male,43,6,1,36706.56,1
720,Male,34,3,1,77047.78,1
769,Male,29,2,1,84872.66,0
718,Female,49,10,1,184474.72,0
557,Female,40,4,0,105433.53,1
570,Female,29,4,1,131363.57,1
637,Female,39,3,1,88391.29,1
697,Male,31,3,0,123825.83,1
736,Female,29,9,0,176152.7,0
850,Female,44,5,0,171096.2,1
824,Male,26,7,1,21903.62,0
625,Female,52,2,1,84606.03,1
619,Female,38,1,1,112442.63,0
773,Male,63,9,1,93091.02,1
608,Male,34,7,0,59890.29,1
802,Male,51,7,0,40855.79,1
727,Female,31,2,0,160383.47,1
513,Male,29,10,0,25514.77,1
572,Female,30,6,0,175025.27,1
754,Female,55,3,1,8080.85,0
745,Female,59,8,1,36124.98,1
646,Male,24,8,0,92612.88,0
418,Male,28,7,1,122190.22,0
850,Male,28,8,1,196582.55,0
548,Male,29,5,0,177017.39,1
733,Male,33,3,1,7666.73,1
850,Female,35,2,0,12639.67,0
707,Male,47,3,1,174303.29,0
641,Male,31,3,1,59927.99,0
729,Male,30,6,1,145111.37,0
725,Female,33,4,1,67879.8,1
629,Male,35,4,0,158420.14,1
515,Female,58,2,1,81436.68,0
841,Male,74,9,0,60830.38,1
602,Female,53,5,0,45038.29,1
601,Male,38,4,1,38020.05,1
704,Male,42,8,1,179565.57,1
698,Female,40,0,1,143681.83,1
761,Male,27,8,1,63297.7,0
773,Female,40,10,0,69303.15,1
661,Male,26,8,0,196875.87,0
649,Female,38,8,1,103760.53,0
676,Male,35,5,1,84199.78,0
558,Female,32,1,1,6935.31,1
780,Female,33,6,1,154598.56,1
844,Female,41,10,1,141175.18,1
733,Male,31,6,0,177994.81,0
565,Female,38,7,1,83844.79,1
630,Male,30,3,0,10486.69,1
604,Male,30,5,1,75786.55,0
666,Female,66,7,1,99792.82,1
699,Male,39,9,1,80963.92,0
645,Male,47,9,1,121840.2,0
743,Female,73,6,0,107867.38,1
717,Female,42,5,1,99347.8,0
800,Female,46,6,1,171928.04,0
834,Male,38,8,1,66485.26,1
696,Female,36,7,1,82298.59,1
754,Male,39,6,1,89593.26,0
813,Male,27,1,0,115733.16,1
705,Female,39,3,1,54517.25,1
732,Female,61,9,1,157527.6,1
757,Male,28,7,1,131249.46,1
531,Female,42,6,1,75248.75,0
479,Female,30,7,1,41879.99,0
699,Male,35,5,1,78397.24,1
510,Female,26,6,0,159742.33,0
610,Male,46,5,1,54394.28,0
572,Male,43,2,1,26450.57,0
603,Male,31,8,1,169915.02,1
444,Male,34,2,1,112668.06,0
793,Male,63,4,1,80272.06,1
642,Female,40,7,1,183963.34,0
758,Female,52,7,1,171189.83,0
460,Female,35,8,1,189339.6,1
731,Male,37,8,1,170338.35,1
508,Female,41,5,1,187776.49,0
691,Male,38,9,0,103511.26,1
648,Female,37,7,1,194238.92,0
543,Female,46,5,1,85086.78,1
711,Male,52,5,1,159808.95,1
575,Female,31,6,1,95686.42,1
692,Male,45,6,0,108040.86,1
717,Male,28,4,1,54272.12,1
545,Male,37,9,0,104936.88,1
758,Male,56,1,1,10643.38,1
850,Male,39,4,0,151738.54,1
622,Female,31,1,1,152305.47,1
642,Male,26,0,0,47472.68,0
749,Male,42,9,0,101108.85,0
850,Male,54,7,0,24093.4,0
500,Female,47,8,1,179227.12,0
783,Female,72,5,1,105206.48,1
714,Male,52,4,1,186775.25,1
712,Female,29,8,1,38170.04,1
797,Male,32,10,0,125782.29,1
652,Male,58,6,0,170025.43,1
642,Male,32,3,1,88698.83,1
701,Female,34,3,0,74694.41,1
703,Male,43,8,1,9704.66,0
595,Male,20,4,1,177738.98,0
443,Male,35,6,0,13946.66,0
850,Female,55,7,0,171762.87,0
743,Male,35,6,1,193360.69,1
757,Male,44,5,1,158735.1,0
527,Male,39,4,1,167183.07,0
640,Female,46,3,1,156260.08,1
632,Male,43,2,1,24275.32,0
689,Male,47,1,1,156878.42,0
640,Female,34,3,1,168544.85,1
530,Male,33,9,0,101694.67,1
656,Female,46,7,1,50595.15,0
697,Female,49,7,0,131083.56,1
508,Female,43,9,1,103726.71,0
777,Male,44,3,0,79792.3,1
505,Female,37,6,0,125307.87,1
559,Female,28,3,0,64242.31,0
850,Female,38,0,0,148977.72,1
540,Male,37,6,1,141998.89,0
506,Female,41,3,1,4035.46,0
759,Male,40,4,1,124615.59,0
543,Female,31,2,1,16658.76,1
557,Male,34,3,1,132673.22,0
678,Male,60,8,0,192156.54,0
734,Female,43,3,0,94811.85,1
655,Female,61,2,1,161217.18,1
600,Male,46,10,0,19842.18,0
545,Male,26,7,0,156598.23,1
619,Male,34,1,1,139919.38,0
699,Male,64,9,1,27980.8,0
715,Male,38,2,1,4554.67,1
575,Female,54,9,1,144390.75,1
598,Female,40,9,1,68462.59,0
733,Male,36,1,0,108377.82,1
579,Male,40,10,1,18732.91,0
519,Female,22,8,0,167553.06,1
614,Male,51,4,1,46775.28,1
705,Male,48,9,0,173273.2,0
695,Female,42,0,0,140724.64,1
752,Female,45,3,0,89773.45,1
611,Male,31,0,1,183487.98,1
681,Female,58,8,1,139761.25,1
703,Female,29,3,0,82824.08,1
541,Female,39,9,1,199808.1,1
739,Male,32,3,1,63981.37,0
690,Female,42,3,0,70810.6,0
613,Male,41,7,1,60297.72,0
629,Male,34,6,1,190347.72,0
654,Male,32,6,1,137898.57,1
705,Female,37,10,1,13935.53,1
580,Female,35,8,0,10357.03,1
834,Female,49,8,1,129273.94,0
650,Female,32,4,1,118324.75,1
659,Female,44,9,0,169862.01,1
695,Male,28,0,1,57992.49,1
676,Male,30,1,1,55400.17,1
712,Male,37,7,1,60651.77,0
640,Female,29,3,1,2743.69,0
652,Male,36,9,0,72350.17,0
682,Female,26,0,0,111879.21,1
642,Male,34,8,1,72085.1,0
767,Female,45,7,1,26628.88,0
655,Female,45,0,1,166830.71,0
521,Male,29,3,1,154271.41,0
642,Male,18,5,0,10063.75,1
573,Female,44,4,1,94862.93,1
737,Male,44,7,0,57898.58,0
613,Male,29,0,0,133897.32,1
616,Male,29,9,1,166984.44,1
716,Female,44,6,0,133871.83,0
740,Female,56,4,1,85016.64,1
748,Female,23,8,0,134077.71,0
645,Male,25,1,1,93073.04,0
646,Female,36,6,1,53217.3,0
758,Female,47,9,1,73294.48,0
584,Female,39,2,1,127749.61,1
613,Female,51,7,1,53630.9,1
667,Male,42,6,1,88890.05,0
850,Male,30,9,0,40313.47,0
547,Female,44,5,0,5459.07,0
524,Male,28,1,1,51670.82,1
643,Female,45,2,0,2319.96,1
504,Male,43,5,1,181430.91,0
665,Male,41,8,1,132152.32,0
725,Female,33,7,1,177279.41,1
565,Female,44,1,0,89602.81,1
733,Male,38,9,0,194872.97,1
615,Female,33,3,1,171657.57,1
534,Male,34,5,0,5240.53,1
739,Male,58,1,0,160122.66,1
686,Male,22,5,1,158974.45,0
564,Male,31,4,1,53520.03,0
764,Male,29,5,1,65868.28,0
487,Female,40,6,0,193408.43,1
590,Female,29,2,1,122487.73,0
731,Male,37,3,0,172718.35,0
663,Male,67,9,1,72318.77,1
711,Male,58,9,1,26767.85,1
791,Male,34,7,1,96734.46,0
711,Female,52,8,0,131473.31,1
733,Male,39,5,1,93783.0,1
798,Male,36,1,1,159044.1,1
432,Male,38,2,1,71856.3,1
758,Female,32,2,1,75396.43,1
584,Female,37,8,0,100835.19,1
528,Male,37,6,1,197111.99,0
605,Male,52,1,1,108887.44,0
632,Female,27,3,1,62703.38,1
678,Male,28,2,1,58814.41,1
688,Male,38,7,1,175479.92,0
710,Female,46,10,1,166586.99,0
717,Female,36,2,0,82336.73,1
505,Female,25,5,1,126728.27,1
794,Male,56,9,1,71776.76,1
652,Female,58,3,0,193502.9,1
532,Male,43,9,0,190573.91,0
632,Female,35,2,0,64722.61,0
821,Female,31,2,1,25445.0,1
518,Male,40,4,0,194416.58,1
752,Male,49,2,1,7698.6,0
635,Male,50,7,0,54560.79,0
711,Female,35,8,1,67508.01,1
600,Female,41,1,1,91193.65,1
563,Male,32,6,1,19720.08,1
762,Female,51,3,0,85578.63,1
678,Female,22,6,1,195424.01,1
710,Male,34,9,1,147074.67,0
850,Male,44,3,0,186285.52,1
677,Female,27,2,0,114685.92,1
527,Female,28,2,1,155846.69,1
706,Female,29,5,1,42334.38,0
513,Female,43,9,1,152499.8,0
584,Female,40,4,0,80852.11,0
577,Male,51,2,0,140800.66,0
850,Female,41,5,1,34827.43,1
766,Male,27,5,1,177614.17,0
670,Male,31,1,1,175894.24,1
639,Male,37,5,0,173386.95,1
696,Male,47,1,1,80591.18,1
602,Male,29,5,1,161229.84,0
606,Female,36,10,0,155641.46,1
619,Female,42,8,1,191821.35,1
687,Female,40,1,1,8207.36,0
793,Female,32,1,1,138191.81,1
667,Male,31,3,1,189657.26,1
552,Female,34,4,1,140286.69,0
614,Female,35,1,1,3342.62,1
683,Female,30,2,0,100496.84,1
760,Male,42,0,1,97906.38,1
840,Male,30,8,1,54113.38,0
676,Male,36,1,1,113810.12,0
647,Female,26,8,1,136592.24,1
739,Male,19,5,1,193008.52,0
578,Male,59,10,0,9445.42,0
659,Female,38,9,1,35701.06,1
568,Male,27,5,0,118648.12,1
812,Male,34,5,1,166038.27,1
750,Female,39,7,1,87067.73,0
636,Female,34,3,1,44756.25,1
678,Female,31,1,0,130446.65,1
633,Male,42,3,0,11796.89,1
620,Male,42,4,0,119747.08,1
519,Male,48,10,1,137959.0,0
715,Male,41,4,0,152821.12,1
704,Female,24,7,1,162503.48,0
683,Male,72,3,0,52876.41,1
676,Male,38,8,1,133692.88,1
554,Female,38,3,1,194138.36,1
554,Female,26,7,1,192709.69,0
652,Male,30,2,1,152210.81,1
652,Female,80,4,1,188603.07,1
679,Male,33,4,1,1173.23,0
697,Female,34,2,1,73334.43,0
708,Female,35,8,0,199005.88,0
850,Male,37,2,1,119969.99,0
714,Male,39,3,1,63846.36,0
682,Female,35,2,1,16910.98,1
685,Male,31,7,1,180769.55,1
486,Male,27,7,1,28823.04,0
550,Male,37,3,1,179670.31,1
663,Male,45,5,1,48682.1,1
571,Male,40,10,1,121402.53,1
435,Male,32,2,1,5907.11,1
748,Male,33,1,0,69132.66,0
717,Male,35,4,1,167573.06,1
597,Female,60,0,0,10703.53,0
560,Male,50,3,1,84531.79,0
804,Female,33,10,1,80483.76,1
675,Female,40,8,1,142783.98,0
533,Male,47,9,1,137696.25,1
738,Male,31,9,1,18606.23,1
521,Male,30,2,1,64299.82,0
604,Female,34,7,1,193021.49,0
547,Female,42,1,1,86207.49,0
668,Male,42,3,1,108139.23,0
558,Male,38,8,1,152872.39,1
690,Male,35,6,1,176962.31,0
655,Male,38,4,0,110527.71,0
656,Female,48,9,1,85240.61,1
662,Male,33,0,1,162703.0,1
638,Male,30,9,1,106642.97,1
850,Female,29,10,1,94815.04,1
727,Male,71,8,1,198446.91,1
593,Male,43,10,0,53478.02,0
698,Female,63,5,1,173576.71,1
712,Male,33,2,1,3061.0,0
432,Male,42,9,1,110265.24,0
645,Female,45,8,0,22558.74,0
497,Female,55,7,1,9972.64,1
815,Female,39,6,1,85167.88,1
666,Male,35,2,1,175015.12,0
457,Female,38,7,1,163327.27,1
688,Male,29,9,1,143454.95,0
529,Male,63,4,1,108732.96,0
758,Male,68,6,1,35865.44,0
500,Female,34,4,1,12833.96,0
732,Male,25,0,0,172576.56,0
850,Male,41,1,0,125806.3,1
594,Male,40,0,1,83508.93,1
667,Male,77,2,1,34702.92,1
570,Female,29,0,1,37092.43,0
750,Male,22,5,0,105125.65,1
675,Female,61,5,1,166305.16,0
670,Female,27,5,1,26170.08,1
589,Female,21,3,0,55601.44,1
766,Male,41,0,0,34283.23,1
712,Male,36,2,0,70758.37,0
827,Female,60,2,0,60615.83,1
490,Female,37,3,0,24435.77,1
609,Male,32,7,0,3815.48,0
532,Male,36,4,1,132798.78,1
539,Female,29,4,1,100919.19,1
611,Female,28,3,1,181419.29,0
450,Male,29,7,1,43480.63,1
696,Male,31,3,0,5566.6,0
670,Female,31,2,1,181893.31,1
605,Female,28,6,0,159508.52,0
439,Male,52,3,1,198874.52,0
515,Male,35,10,0,121277.78,1
740,Male,36,7,1,13177.4,1
688,Female,32,6,1,172531.23,0
499,Female,21,3,1,153920.22,1
677,Male,42,5,1,21007.96,0
751,Female,44,10,1,170634.49,0
685,Female,21,6,1,164966.27,1
763,Female,23,2,1,153983.99,0
792,Male,36,5,0,1871.25,0
753,Female,47,1,1,197444.69,0
640,Male,63,2,1,112503.24,1
750,Male,36,7,1,26500.29,1
750,Female,37,1,1,27366.77,1
741,Male,39,7,0,174227.66,1
698,Male,38,2,1,41595.3,1
648,Male,32,0,0,117323.31,1
545,Female,44,1,1,82614.89,1
627,Female,44,5,1,82969.61,0
691,Male,30,9,1,49594.02,0
